distance_furlongs,race_type,course,race_length
17,Chase,Navan,279.04667
17,Chase,Newbury,249.97108
17,Chase,Plumpton,267.55053
17,Chase,Roscommon,236.25
17,Chase,Sligo,276.13548
17,Chase,Southwell,248.83613
17,Chase,Stratford,253.51936
17,Chase,Tipperary,257.1425
17,Chase,Wexford,256.76364
17,Flat,Ayr,240.3845
17,Flat,Bath,232.95739
17,Flat,Bellewstown,235.115
17,Flat,Carlisle,235.36826
17,Flat,Clonmel,235.78625
17,Flat,Dundalk,225.2725
17,Flat,Galway,226.85
17,Flat,Killarney,234.33949
17,Flat,Limerick,227.324
17,Flat,Pontefract,229.04654
17,Flat,Tralee,243.6
17,Flat,Wolverhampton,221.93205
17,Hurdle,Aintree,259.44093
17,Hurdle,Ballinrobe,260.31395
17,Hurdle,Bangor,250.43746
17,Hurdle,Bellewstown,242.13524
17,Hurdle,Carlisle,265.35019
17,Hurdle,Cartmel,252.78787
17,Hurdle,Cheltenham,251.08134
17,Hurdle,Clonmel,254.15625
17,Hurdle,Doncaster,245.41662
17,Hurdle,Down_Royal,261.67778
17,Hurdle,Downpatrick,254.87615
17,Hurdle,Exeter,254.7975
17,Hurdle,Galway,241.692
17,Hurdle,Gowran_Park,271.2
17,Hurdle,Hereford,241.8537
17,Hurdle,Killarney,245.56467
17,Hurdle,Market_Rasen,254.65283
17,Hurdle,Musselburgh,248.84
17,Hurdle,Newton_Abbot,246.0674
17,Hurdle,Punchestown,243.13333
17,Hurdle,Roscommon,236.1
17,Hurdle,Sedgefield,251.11053
17,Hurdle,Sligo,251.23333
17,Hurdle,Southwell,242.23978
17,Hurdle,Taunton,251.35735
17,Hurdle,Tralee,261.61714
17,Hurdle,Wexford,255.65
17,NHF,Aintree,253.67958
17,NHF,Ballinrobe,266.11765
17,NHF,Bangor,249.41791
17,NHF,Bellewstown,238.2
17,NHF,Carlisle,264.85039
17,NHF,Cheltenham,250.03737
17,NHF,Clonmel,243.1
17,NHF,Cork,238.58889
17,NHF,Doncaster,245.10882
17,NHF,Down_Royal,261.24
17,NHF,Downpatrick,252.725
17,NHF,Dundalk,231.86667
17,NHF,Exeter,253.008
17,NHF,Galway,242.56667
17,NHF,Gowran_Park,272.37222
17,NHF,Hereford,241.05207
17,NHF,Killarney,242.72843
17,NHF,Market_Rasen,252.08313
17,NHF,Newton_Abbot,242.90192
17,NHF,Punchestown,251.87273
17,NHF,Roscommon,240.8
17,NHF,Sedgefield,253.27783
17,NHF,Southwell,238.31667
17,NHF,Taunton,251.23143
17,NHF,Tralee,228.2
18,Chase,Ayr,297.625
18,Chase,Ballinrobe,273.73333
18,Chase,Bangor,266.29755
18,Chase,Cartmel,263.64569
18,Chase,Clonmel,288.35217
18,Chase,Cork,266.6
18,Chase,Downpatrick,293.10175
18,Chase,Exeter,260.22279
